"","live1","live2","live3","mean","sd","stn","depthid","treatment","subt","substrate"
"stn4-d1-LV-amend1-subt4-L",131.887801534329,109.25423820312,137.958761445583,126.366933727677,15.1277030526175,"stn4","d1","amend1","subt4","L"
"stn4-d1-LV-amend1-subt4-p1",92.4177775301969,88.6129129168484,94.975591923,92.0020941233484,3.20164263384865,"stn4","d1","amend1","subt4","p1"
"stn4-d1-LV-amend1-subt4-p2",680.854217320996,670.133087565513,621.698320977829,657.561875288113,31.5179560192833,"stn4","d1","amend1","subt4","p2"
"stn4-d1-LV-amend1-subt4-p3",76.746656097776,71.0882135695761,65.6995860751995,71.1781519141839,5.52408415036378,"stn4","d1","amend1","subt4","p3"
"stn4-d1-LV-amend1-subt4-p4",158.325422459238,118.749946917386,116.299565675287,131.124978350637,23.5881159026481,"stn4","d1","amend1","subt4","p4"
"stn4-d1-LV-amend1-subt5-a",9.2394239260682,8.79217681639973,9.20881361795574,9.08013812014122,0.2498510197699,"stn4","d1","amend1","subt5","a"
"stn4-d1-LV-amend1-subt5-b",70.3193487189329,53.2258707448805,61.1201241701342,61.5551145446492,8.55503709996597,"stn4","d1","amend1","subt5","b"
"stn4-d1-LV-amend1-subt5-L",164.461633699953,163.598429978037,166.479225795319,164.846429824436,1.47844417489505,"stn4","d1","amend1","subt5","L"
"stn4-d1-LV-amend1-subt5-p1",124.827672765324,117.719975934841,112.861411191426,118.46968663053,6.01825586105818,"stn4","d1","amend1","subt5","p1"
"stn4-d1-LV-amend1-subt5-p2",216.579800147613,218.111505589062,273.093586289966,235.928297342214,32.1951946308339,"stn4","d1","amend1","subt5","p2"
"stn4-d1-LV-amend1-subt5-p3",61.5199177318699,66.2159470437116,63.6701672500884,63.8020106752233,2.35078919535178,"stn4","d1","amend1","subt5","p3"
"stn4-d1-LV-amend1-subt5-p4",99.3808065968918,103.608421838815,100.186012784999,101.058413740235,2.2447706405017,"stn4","d1","amend1","subt5","p4"
"stn4-d1-LV-amend2-subt0-a",10.7149845190543,10.0140667042969,9.55013314230387,10.0930614552184,0.586429714871465,"stn4","d1","amend2","subt0","a"
"stn4-d1-LV-amend2-subt0-b",32.8605406020279,27.3936872934715,22.3359675587101,27.5300651514032,5.26361174728278,"stn4","d1","amend2","subt0","b"
"stn4-d1-LV-amend2-subt0-L",207.325324486506,152.339873452666,145.317994338479,168.327730759217,33.9549103070907,"stn4","d1","amend2","subt0","L"
"stn4-d1-LV-amend2-subt0-p1",46.2465817787366,85.1717723642677,41.5873766625296,57.668576935178,23.932119989394,"stn4","d1","amend2","subt0","p1"
"stn4-d1-LV-amend2-subt0-p2",61.9726252888871,75.4045512760715,51.7735403659239,63.0502389769608,11.8523038943668,"stn4","d1","amend2","subt0","p2"
"stn4-d1-LV-amend2-subt0-p3",14.023964720476,19.8512610830684,20.254889108598,18.0433716373808,3.48675391567786,"stn4","d1","amend2","subt0","p3"
"stn4-d1-LV-amend2-subt0-p4",6.36924136221834,13.1350061865637,6.53975089132699,8.68133281336969,3.85793639932056,"stn4","d1","amend2","subt0","p4"
"stn4-d1-LV-amend2-subt1-a",19.8158918668756,21.1906034802119,18.9162299143,19.9742417537959,1.14542559529,"stn4","d1","amend2","subt1","a"
"stn4-d1-LV-amend2-subt1-b",86.4287408017033,75.9728873818029,89.7505005398913,84.0507095744658,7.19005775162967,"stn4","d1","amend2","subt1","b"
"stn4-d1-LV-amend2-subt1-L",1044.96456981462,937.331875381086,873.082194646045,951.792879947252,86.8488814734819,"stn4","d1","amend2","subt1","L"
"stn4-d1-LV-amend2-subt1-p1",185.681103985229,144.229927952855,129.009548700401,152.973526879495,29.3300901165129,"stn4","d1","amend2","subt1","p1"
"stn4-d1-LV-amend2-subt1-p2",570.171316658322,546.74198221988,582.389895484162,566.434398120788,18.1153760695596,"stn4","d1","amend2","subt1","p2"
"stn4-d1-LV-amend2-subt1-p3",68.8168273505711,47.1811010352646,42.9433628698465,52.9804304185607,13.8774351748009,"stn4","d1","amend2","subt1","p3"
"stn4-d1-LV-amend2-subt1-p4",47.1719867341075,46.7158676440764,43.3038263095533,45.7305602292457,2.11395110960782,"stn4","d1","amend2","subt1","p4"
"stn4-d1-LV-amend2-subt2-a",10.2136134620421,9.17208686849033,9.08826386212702,9.49132139755314,0.626925788205192,"stn4","d1","amend2","subt2","a"
"stn4-d1-LV-amend2-subt2-b",99.0985674993597,82.7636726154243,83.0224102989694,88.2948834712511,9.3571591699419,"stn4","d1","amend2","subt2","b"
"stn4-d1-LV-amend2-subt2-L",1588.99024395588,1488.27012113985,1402.94564629426,1493.40200379666,93.1284072905336,"stn4","d1","amend2","subt2","L"
"stn4-d1-LV-amend2-subt2-p1",552.759109399351,466.729898319577,328.054178802367,449.181062173765,113.375692704403,"stn4","d1","amend2","subt2","p1"
"stn4-d1-LV-amend2-subt2-p2",380.434852166767,371.981061357306,343.109071029037,365.174994851037,19.571545425726,"stn4","d1","amend2","subt2","p2"
"stn4-d1-LV-amend2-subt2-p3",227.200835727937,203.820065335229,179.761541073155,203.594147378774,23.7204542226347,"stn4","d1","amend2","subt2","p3"
"stn4-d1-LV-amend2-subt2-p4",216.576217136189,197.631450965303,184.918368287191,199.708678796228,15.9308193459309,"stn4","d1","amend2","subt2","p4"
"stn4-d1-LV-amend2-subt3-a",0.893187940109735,0.960386108138367,0.902511956368476,0.918695334872193,0.0364050099772954,"stn4","d1","amend2","subt3","a"
"stn4-d1-LV-amend2-subt3-b",92.5315228938981,94.0761131236706,120.315734457955,102.307790158508,15.6144478981319,"stn4","d1","amend2","subt3","b"
"stn4-d1-LV-amend2-subt3-L",218.628354486908,201.701375511788,191.951321528952,204.09368384255,13.4984582905621,"stn4","d1","amend2","subt3","L"
"stn4-d1-LV-amend2-subt3-p1",116.068203862753,113.057576726151,98.9023625882311,109.342714392378,9.16606121977593,"stn4","d1","amend2","subt3","p1"
"stn4-d1-LV-amend2-subt3-p2",368.455118659808,347.293281104927,351.877944808862,355.875448191199,11.1328732654078,"stn4","d1","amend2","subt3","p2"
"stn4-d1-LV-amend2-subt3-p3",64.8100640931367,60.8371372783629,56.284629574119,60.6439436485396,4.26599944543691,"stn4","d1","amend2","subt3","p3"
"stn4-d1-LV-amend2-subt3-p4",103.647446340623,98.8518053370385,90.9500394925295,97.8164303900635,6.4117108580408,"stn4","d1","amend2","subt3","p4"
"stn4-d1-LV-amend2-subt4-a",3.71999481029259,3.06358296329294,3.76925945543848,3.51761240967467,0.393971832688092,"stn4","d1","amend2","subt4","a"
"stn4-d1-LV-amend2-subt4-b",115.804212654844,124.278289489383,135.248955311758,125.110485818662,9.74904699425823,"stn4","d1","amend2","subt4","b"
"stn4-d1-LV-amend2-subt4-L",108.177847176701,105.547411335921,98.532011089389,104.085756534004,4.98626759468435,"stn4","d1","amend2","subt4","L"
"stn4-d1-LV-amend2-subt4-p1",123.395783384409,118.272981825024,133.838070935686,125.168945381706,7.93259587759342,"stn4","d1","amend2","subt4","p1"
"stn4-d1-LV-amend2-subt4-p2",532.122770645006,465.880710802403,477.3183584848,491.77394664407,35.4079884322811,"stn4","d1","amend2","subt4","p2"
"stn4-d1-LV-amend2-subt4-p3",69.3059248967015,63.6507505616308,59.6944411226137,64.2170388603153,4.83070045778133,"stn4","d1","amend2","subt4","p3"
"stn4-d1-LV-amend2-subt4-p4",131.006780575212,106.471649716006,109.726136768797,115.734855686671,13.3256027572906,"stn4","d1","amend2","subt4","p4"
"stn4-d1-LV-amend2-subt5-a",8.08906362641893,7.7549973811251,7.76657769493289,7.87021290082564,0.189618712121205,"stn4","d1","amend2","subt5","a"
"stn4-d1-LV-amend2-subt5-b",131.008611747506,93.528848824872,102.451070293703,108.99617695536,19.5783547085439,"stn4","d1","amend2","subt5","b"
"stn4-d1-LV-amend2-subt5-L",105.845977295918,109.027230058194,117.397356672641,110.756854675584,5.96676565352268,"stn4","d1","amend2","subt5","L"
"stn4-d1-LV-amend2-subt5-p1",88.4036562673783,77.7711348258334,86.2254078472159,84.1333996468092,5.61649372688646,"stn4","d1","amend2","subt5","p1"
"stn4-d1-LV-amend2-subt5-p2",202.793501962198,214.362782040347,111.973397267401,176.376560423315,56.0739478612589,"stn4","d1","amend2","subt5","p2"
"stn4-d1-LV-amend2-subt5-p3",55.2027277844943,50.9334685902612,53.0826956730404,53.072964015932,2.13464623433217,"stn4","d1","amend2","subt5","p3"
"stn4-d1-LV-amend2-subt5-p4",85.6330358440214,92.5194599074657,75.1333879129437,84.4286278881436,8.75538826910675,"stn4","d1","amend2","subt5","p4"
"stn4-d1-LV-amend3-subt0-a",10.0400556753064,13.586326280077,9.52748915247301,11.0512903692855,2.21031364557937,"stn4","d1","amend3","subt0","a"
"stn4-d1-LV-amend3-subt0-b",27.7454332522297,24.1883568255035,22.0902286517493,24.6746729098275,2.85879559757743,"stn4","d1","amend3","subt0","b"
"stn4-d1-LV-amend3-subt0-L",139.211183646794,126.270810835371,157.28374609495,140.921913525705,15.5770820724763,"stn4","d1","amend3","subt0","L"
"stn4-d1-LV-amend3-subt0-p1",86.6605363376439,66.2753065673555,34.0789978379769,62.3382802476588,26.5109351010009,"stn4","d1","amend3","subt0","p1"
"stn4-d1-LV-amend3-subt0-p2",57.4360986913172,58.0770213541024,65.2918419484721,60.2683206646305,4.36228380917891,"stn4","d1","amend3","subt0","p2"
"stn4-d1-LV-amend3-subt0-p3",18.294975091799,17.2621915836996,10.9404918953238,15.4992195236075,3.98160252100935,"stn4","d1","amend3","subt0","p3"
"stn4-d1-LV-amend3-subt0-p4",10.0891862576868,9.67064246246411,19.5236925517159,13.0945070906223,5.57176937758404,"stn4","d1","amend3","subt0","p4"
"stn4-d1-LV-amend3-subt1-a",18.3904832981392,20.279738456996,17.3593415900465,18.6765211150606,1.48106133892354,"stn4","d1","amend3","subt1","a"
"stn4-d1-LV-amend3-subt1-b",80.2481786067382,75.7534902324264,79.8255668661981,78.6090785684542,2.48202311219176,"stn4","d1","amend3","subt1","b"
"stn4-d1-LV-amend3-subt1-L",973.852358346178,1020.20105582153,949.720132339905,981.25784883587,35.8192840625031,"stn4","d1","amend3","subt1","L"
"stn4-d1-LV-amend3-subt1-p1",145.95650081871,148.206071703333,146.53696829194,146.899846937994,1.16786256685367,"stn4","d1","amend3","subt1","p1"
"stn4-d1-LV-amend3-subt1-p2",544.994030117523,486.358581728452,468.309789248521,499.887467031498,40.0922842024628,"stn4","d1","amend3","subt1","p2"
"stn4-d1-LV-amend3-subt1-p3",52.8989030159211,43.8508885541727,41.6679315214295,46.1392410305078,5.95492216317577,"stn4","d1","amend3","subt1","p3"
"stn4-d1-LV-amend3-subt1-p4",53.3839206093049,57.282181068375,47.3329529245629,52.6663515340809,5.01327878715055,"stn4","d1","amend3","subt1","p4"
"stn4-d1-LV-amend3-subt2-a",10.8438690025928,11.0274894933162,9.45496988434113,10.4421094600834,0.859803772759116,"stn4","d1","amend3","subt2","a"
"stn4-d1-LV-amend3-subt2-b",78.2116130777704,74.8737545454704,65.5705541772125,72.8853072668178,6.55091859717624,"stn4","d1","amend3","subt2","b"
"stn4-d1-LV-amend3-subt2-L",1731.83220835936,1593.88589998981,1512.86111535556,1612.85974123491,110.711742292837,"stn4","d1","amend3","subt2","L"
"stn4-d1-LV-amend3-subt2-p1",532.131319644493,491.073311316863,441.448805269179,488.217812076845,45.4086446647503,"stn4","d1","amend3","subt2","p1"
"stn4-d1-LV-amend3-subt2-p2",442.356161616485,434.487690463796,377.682459468603,418.175437182961,35.2879461388984,"stn4","d1","amend3","subt2","p2"
"stn4-d1-LV-amend3-subt2-p3",223.441723993055,197.699678796161,181.706277917764,200.949226902327,21.0566269128415,"stn4","d1","amend3","subt2","p3"
"stn4-d1-LV-amend3-subt2-p4",222.259569379735,208.605740290023,196.923601069416,209.262970246391,12.6807644078356,"stn4","d1","amend3","subt2","p4"
"stn4-d1-LV-amend3-subt3-a",0.791587253156144,0.719408140472279,0.972379795712089,0.82779172978017,0.130313996502322,"stn4","d1","amend3","subt3","a"
"stn4-d1-LV-amend3-subt3-b",39.9258214811369,37.6225493126597,42.5971381721324,40.048502988643,2.48956254077106,"stn4","d1","amend3","subt3","b"
"stn4-d1-LV-amend3-subt3-L",217.278585186177,179.831406911431,203.145070180942,200.085020759517,18.910201401131,"stn4","d1","amend3","subt3","L"
"stn4-d1-LV-amend3-subt3-p1",96.1342505621746,101.966264873918,80.923680989102,93.0080654750649,10.8640397199445,"stn4","d1","amend3","subt3","p1"
"stn4-d1-LV-amend3-subt3-p2",390.722417852388,339.348165712934,300.890107564203,343.653563709841,45.0706482298846,"stn4","d1","amend3","subt3","p2"
"stn4-d1-LV-amend3-subt3-p3",86.9895136121817,75.8819357641153,62.6154316927053,75.1622936896674,12.2029660693957,"stn4","d1","amend3","subt3","p3"
"stn4-d1-LV-amend3-subt3-p4",76.8866261682091,68.1205414890593,67.3989158238902,70.8020278270528,5.2817552603333,"stn4","d1","amend3","subt3","p4"
"stn4-d1-LV-amend3-subt4-a",2.14845998031007,1.19546704668835,1.82363142050587,1.72251948250143,0.484475593697444,"stn4","d1","amend3","subt4","a"
"stn4-d1-LV-amend3-subt4-b",119.099773638453,88.491558051339,111.801860477331,106.464397389041,15.9869352760607,"stn4","d1","amend3","subt4","b"
"stn4-d1-LV-amend3-subt4-L",164.279829397762,175.430486952642,168.130288268593,169.280201539666,5.66356922574382,"stn4","d1","amend3","subt4","L"
"stn4-d1-LV-amend3-subt4-p1",160.090379447854,155.896635755719,138.125481089394,151.370832097656,11.6608903621407,"stn4","d1","amend3","subt4","p1"
"stn4-d1-LV-amend3-subt4-p2",637.336639676164,568.481003933907,500.757480095209,568.858374568427,68.290361797305,"stn4","d1","amend3","subt4","p2"
"stn4-d1-LV-amend3-subt4-p3",63.9586297728101,59.5987230961334,52.6486980242244,58.7353502977226,5.70418254276572,"stn4","d1","amend3","subt4","p3"
"stn4-d1-LV-amend3-subt4-p4",136.561937437092,143.506404831549,133.100815493579,137.723052587407,5.29907668012405,"stn4","d1","amend3","subt4","p4"
"stn4-d1-LV-amend3-subt5-a",5.70541299255705,5.73839301620767,6.08668166180891,5.84349589019121,0.211249639355839,"stn4","d1","amend3","subt5","a"
"stn4-d1-LV-amend3-subt5-b",98.5310357442354,72.7826624043154,85.8092559752426,85.7076513745978,12.8744873697608,"stn4","d1","amend3","subt5","b"
"stn4-d1-LV-amend3-subt5-L",145.212490638215,141.244950693723,144.939575468349,143.799005600095,2.21608168194701,"stn4","d1","amend3","subt5","L"
"stn4-d1-LV-amend3-subt5-p1",92.8755239848566,86.2367808561553,105.037538519923,94.7166144536448,9.53463857566833,"stn4","d1","amend3","subt5","p1"
"stn4-d1-LV-amend3-subt5-p2",111.051316632867,119.951833905367,91.836447771898,107.613199436711,14.3695588571605,"stn4","d1","amend3","subt5","p2"
"stn4-d1-LV-amend3-subt5-p3",39.3219111491646,38.6699244770885,37.4410635330245,38.4776330530925,0.955054413419357,"stn4","d1","amend3","subt5","p3"
"stn4-d1-LV-amend3-subt5-p4",42.5314154283689,43.6022104156273,36.8617036125815,40.9984431521926,3.62230741242661,"stn4","d1","amend3","subt5","p4"
"stn4-d1-LV-unamend1-subt0-a",3.77581169012122,1.40986956712061,1.32530917648343,2.17033014457509,1.39103050280469,"stn4","d1","unamend1","subt0","a"
"stn4-d1-LV-unamend1-subt0-b",12.155361633053,6.79448601068182,8.37247057415587,9.10743940596357,2.75497391048083,"stn4","d1","unamend1","subt0","b"
"stn4-d1-LV-unamend1-subt0-L",104.138138789219,89.3642855994066,178.672706576611,124.058376988412,47.8707680301334,"stn4","d1","unamend1","subt0","L"
"stn4-d1-LV-unamend1-subt0-p1",13.7058429663135,11.9411292648717,6.30869884277256,10.6518903579859,3.86342309556952,"stn4","d1","unamend1","subt0","p1"
"stn4-d1-LV-unamend1-subt0-p2",43.9779995840705,25.0798789921847,23.63417802044,30.8973521988984,11.3512120426117,"stn4","d1","unamend1","subt0","p2"
"stn4-d1-LV-unamend1-subt0-p3",37.386393723575,20.5055273747358,15.1803475902241,24.3574228961783,11.5933146921064,"stn4","d1","unamend1","subt0","p3"
"stn4-d1-LV-unamend1-subt0-p4",20.1542295513506,12.1161639287211,12.7313220134342,15.0005718311686,4.47378428066105,"stn4","d1","unamend1","subt0","p4"
"stn4-d1-LV-unamend1-subt1-a",1.25719180392731,1.88511942608792,1.17284516752806,1.43838546584776,0.389174783602251,"stn4","d1","unamend1","subt1","a"
"stn4-d1-LV-unamend1-subt1-b",7.38057596655067,6.97210178454874,7.19302431954933,7.18190069021625,0.204464155019142,"stn4","d1","unamend1","subt1","b"
"stn4-d1-LV-unamend1-subt1-L",105.579169968662,139.662253483693,101.917194764911,115.719539405755,20.8156835982301,"stn4","d1","unamend1","subt1","L"
"stn4-d1-LV-unamend1-subt1-p1",3.77821167250903,14.669374797633,2.3487608868329,6.9321157856583,6.73867310017002,"stn4","d1","unamend1","subt1","p1"
"stn4-d1-LV-unamend1-subt1-p2",31.3030042848886,33.5393931929878,35.1804840521104,33.3409605099956,1.94634117861261,"stn4","d1","unamend1","subt1","p2"
"stn4-d1-LV-unamend1-subt1-p3",18.8720960900045,15.4453655289674,11.5376975374457,15.2850530521392,3.66982637186205,"stn4","d1","unamend1","subt1","p3"
"stn4-d1-LV-unamend1-subt1-p4",3.6793121687831,19.438332144747,4.1774696848903,9.0983713328068,8.95813219494208,"stn4","d1","unamend1","subt1","p4"
"stn4-d1-LV-unamend1-subt2-a",1.09867875405845,1.12485541325763,0.469457766879489,0.897663978065189,0.371068354680397,"stn4","d1","unamend1","subt2","a"
"stn4-d1-LV-unamend1-subt2-b",28.3565183219482,21.1088493057931,12.5574063126304,20.6742579801239,7.90851675638377,"stn4","d1","unamend1","subt2","b"
"stn4-d1-LV-unamend1-subt2-L",66.0707809897951,55.300180585665,44.5630044275546,55.3113220010049,10.7538926097096,"stn4","d1","unamend1","subt2","L"
"stn4-d1-LV-unamend1-subt2-p1",19.945635857151,17.1639943855498,5.52447913471036,14.2113697924704,7.65055124118791,"stn4","d1","unamend1","subt2","p1"
"stn4-d1-LV-unamend1-subt2-p2",44.8518564238839,25.4811432321685,20.0587443791551,30.1305813450692,13.0340921160582,"stn4","d1","unamend1","subt2","p2"
"stn4-d1-LV-unamend1-subt2-p3",7.59443901994089,6.25986526204495,4.24806018870751,6.03412149023112,1.68457205497903,"stn4","d1","unamend1","subt2","p3"
"stn4-d1-LV-unamend1-subt2-p4",7.31953098058096,412.725312119614,6.64261129766394,142.229151465953,234.256791259811,"stn4","d1","unamend1","subt2","p4"
"stn4-d1-LV-unamend1-subt3-a",0.425949754852181,0.649968673553914,1.16695837001006,0.747625599472051,0.38003433834245,"stn4","d1","unamend1","subt3","a"
"stn4-d1-LV-unamend1-subt3-b",11.3505323559757,5.27218646604135,62.6409028352924,26.4212072191031,31.5140656705298,"stn4","d1","unamend1","subt3","b"
"stn4-d1-LV-unamend1-subt3-L",21.6220146227987,12.4947964796559,18.7626931930779,17.6265014318441,4.6684822530294,"stn4","d1","unamend1","subt3","L"
"stn4-d1-LV-unamend1-subt3-p1",4.83869357169652,3.06594932584558,1.82219763764901,3.24228017839704,1.51595889034051,"stn4","d1","unamend1","subt3","p1"
"stn4-d1-LV-unamend1-subt3-p2",25.3586515072134,25.7165957829152,19.9994385107273,23.6915619336186,3.2024775648744,"stn4","d1","unamend1","subt3","p2"
"stn4-d1-LV-unamend1-subt3-p3",10.5976659578373,4.7666028458754,2.0365648441189,5.80027788261052,4.37315402552945,"stn4","d1","unamend1","subt3","p3"
"stn4-d1-LV-unamend1-subt3-p4",6.16067539772538,8.98913400979755,2.01535703700385,5.72172214817559,3.50754918469216,"stn4","d1","unamend1","subt3","p4"
"stn4-d1-LV-unamend1-subt4-a",0.60940845244254,0.320007323495495,0.344764604162809,0.424726793366948,0.160417321806889,"stn4","d1","unamend1","subt4","a"
"stn4-d1-LV-unamend1-subt4-b",12.6544121244727,20.7674538905156,17.4472689025832,16.9563783058572,4.07873655166091,"stn4","d1","unamend1","subt4","b"
"stn4-d1-LV-unamend1-subt4-L",13.4796310723633,11.6605234586393,10.5038795045273,11.88134467851,1.50011528114626,"stn4","d1","unamend1","subt4","L"
"stn4-d1-LV-unamend1-subt4-p1",1.97805420665359,2.74267660700685,1.92951704642627,2.21674928669557,0.456112512071402,"stn4","d1","unamend1","subt4","p1"
"stn4-d1-LV-unamend1-subt4-p2",31.1665411225132,19.4982346073796,26.2759996567756,25.6469251288895,5.85953456376903,"stn4","d1","unamend1","subt4","p2"
"stn4-d1-LV-unamend1-subt4-p3",3.6974972022787,4.1831586082662,2.45119437944141,3.44395006332877,0.893386610731567,"stn4","d1","unamend1","subt4","p3"
"stn4-d1-LV-unamend1-subt4-p4",3.65425714167798,2.2552437018136,1.55338081931522,2.4876272209356,1.06954284880774,"stn4","d1","unamend1","subt4","p4"
"stn4-d1-LV-unamend1-subt5-a",0.121116837595478,0.0635884659555666,-0.0941953385724133,0.0301699883262105,0.111478380356175,"stn4","d1","unamend1","subt5","a"
"stn4-d1-LV-unamend1-subt5-b",6.87228843081677,3.58759543134471,2.71213422583299,4.39067269599816,2.19326710002761,"stn4","d1","unamend1","subt5","b"
"stn4-d1-LV-unamend1-subt5-L",7.31488619205279,6.57259826372389,8.93696009202985,7.60814818260217,1.20915410933153,"stn4","d1","unamend1","subt5","L"
"stn4-d1-LV-unamend1-subt5-p1",1.1930294800084,2.66445240650959,2.02775407107351,1.96174531919717,0.737929009899687,"stn4","d1","unamend1","subt5","p1"
"stn4-d1-LV-unamend1-subt5-p2",0.565888215872967,2.92536988076242,0.77999329343204,1.42375046335581,1.3048394162151,"stn4","d1","unamend1","subt5","p2"
"stn4-d1-LV-unamend1-subt5-p3",1.51288746313495,0.430816370701531,0.578641800751469,0.840781878195983,0.586734631176629,"stn4","d1","unamend1","subt5","p3"
"stn4-d1-LV-unamend1-subt5-p4",0.750839872913058,0.265791971745417,0.00478207488211306,0.340471306513529,0.378593861257353,"stn4","d1","unamend1","subt5","p4"
"stn4-d1-LV-unamend2-subt0-a",2.03338353941345,1.37721944389061,1.45760753130162,1.62273683820189,0.357894671742047,"stn4","d1","unamend2","subt0","a"
"stn4-d1-LV-unamend2-subt0-b",8.6016822122995,7.45612984420124,7.96946724545433,8.00909310065169,0.573803287995087,"stn4","d1","unamend2","subt0","b"
"stn4-d1-LV-unamend2-subt0-L",113.948283841792,92.2181614650527,84.635580705054,96.9340086706329,15.2147314286325,"stn4","d1","unamend2","subt0","L"
"stn4-d1-LV-unamend2-subt0-p1",9.75405002366552,5.97469935286306,9.19626911583886,8.30833949745582,2.04014389899957,"stn4","d1","unamend2","subt0","p1"
"stn4-d1-LV-unamend2-subt0-p2",40.6437168390956,19.8336064459299,16.466753196817,25.6480254939475,13.0953042877772,"stn4","d1","unamend2","subt0","p2"
